Clor-a;Feopigmentos;Chl Total
0,57;0,30;0,88
0,48;0,33;0,81
0,29;0,23;0,53
0,30;0,24;0,54
1,46;1,11;2,57
1,31;0,98;2,29
1,19;0,94;2,13
1,03;0,73;1,76
0,82;0,20;1,02
0,48;0,17;0,66
2,04;0,34;2,38
0,53;0,09;0,62
1,55;0,25;1,80
1,85;0,34;2,19
8,64;1,14;9,78
1,36;0,36;1,72
